The Vanishing Half, Brit Bennett, OnShelf
Caste: The origins of Our Discontents, Isabel Wikerson, OnSelf
Deacon King Kong, James McBride, OnShelf
Hamnet, Maggie O Farrell, OnShelf
Leave The World Behind, RuMaan Alam , OnShelf
The Glass Hotel, Emily St. John Mandel, OnShelf
Uncanny Vall, Anna Wiener, OnShelf
Homeland Elegies, Ayad Akhtar, OnShelf
Weather, Jenny Offill, OnShelf
The Mirror and The Light, Hilary Mantel, OnShelf
Real Life, Brandon Taylor, OnShelf
A Promised Land, Barack Obama, OnShelf
